emails,category
Weekly Intern Update  Intern  Invitation to edit Weekly PSR for the week October 24 to October 30. Please fill it by the eod today.,1
"Hiking Club Requirements: Bag, Water  Bottle, Trousers/sweat pants and Comfortable Shoes. Please do not wear Jeans and Slippers. Feel free to contact the coordinator. You and your camera will be highly appreciated.  Happy Hiking",1
"Invitation: Documentary Show Fri Nov 4, 2016 10:20am - 11:20am Documentary Show Hi All,DeerExpress Club along with Documentary and Movie Club will be showing a documentary on Friday during DeerTalk. ",1
"Special Guest November 17 Dear All, This is to inform you that we have special guest addressing DWIT students on November 17, 2:00 pm to 3:00 pm. He will talk about raising a software company in a country like Nepali and selling in around 100 million dollars in a decade. Kindly make yourself free on the day and turn to listen to him. This is for all batches, Detail information will be shared in next email.",1
"""Hello all, Interested One Please Fill Up The Form Below. https://docs.google.com/a/deerwalk.edu.np/forms/d/1rDd6rL_1uglfPmKrKuTLFQzDFwM3O3KnyzDmi1BLtE4/viewform?usp=send_form Best, Abhisekh Khatiwada, Hiking Club      We(Hiking Club) are organizing hike on this Sunday. Interested people please fill up this form. Route : Jhor to Kakani Deadline: Thrusday 8 am  I've invited you to fill out the form Hiking this Sunday. To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/1rDd6rL_1uglfPmKrKuTLFQzDFwM3O3KnyzDmi1BLtE4/viewform?c=0&w=1&usp=mail_form_link """,1
"'Dear All,  New group email for all clubs goes here:-  _newsclub@deerwalk.edu.np, _hikingclub@deerwalk.edu.np, _itclub@deerwalk.edu.np, _bookclub@deerwalk.edu.np, _softwareclub@deerwalk.edu.np, _musicclub@deerwalk.edu.np, _deerexpressclub@deerwalk.edu.np, _sportsclub@deerwalk.edu.np, _documentaryclub@deerwalk.edu.np,  Remaining clubs, submit the name list of members asap.  Respective presidents, send test email to your club members via above email id.  Thanks  Bijaya '",1
"'Hello all,  Sorry, for the inconvenience. Please fill up the form below again if you are interested in hiking this sunday. (Jhor-Kakani). Deadline: Thrusday 8 am.  P.S. You should fill up the form again if you have submitted before.  https://docs.google.com/a/deerwalk.edu.np/forms/d/1rDd6rL_1uglfPmKrKuTLFQzDFwM3O3KnyzDmi1BLtE4/viewform?usp=send_form  Best, Abhisekh Khatiwada Hiking club '",1
"""Hello All,  The following hikers are selected for hike (Jhor-Kakani) organized by Hiking Club on Sunday,30th November 2014.  Firstly, every hikers are requested to be on time on that day. If  you can't be on time or if you could not come for the hike due to any reason, please inform the members of the club (organizer) by Saturday 5 pm. If you fail to do so, you will be not be given chance for the upcoming hikes.  Every Hikers are requested to carry two bottles of water.  Batch_015:  Shankar Koirala  Batch_016:  Sumit Shrestha Prabina Neupane Sushant Gurung Sagar Giri Abhishek Gupta Anil Lama Sachin Aryal Suman Thapa Suryaraj Timsina Anish Thakuri  Batch_018:  Bishal Timalsina Biplav Shrestha Anil khand Bimal Thapa Abhisekh Khatiwada (coordinator) Safal Neupane (coordinator)  Time: 7 AM sharp Venue: DWIT premises  For any queries you are free to mail us. Coordinators, Reach college by 6:45.  Regards, Abhisekh Khatiwada Hiking Club """,1
"Hello All,  The Software Club announces the call for participation for ""DeerCoders Season- 3"". DeerCoders is a regular activity done by the club through which students will be able to use their programming skills and test their problem solving ability.  To get the details and guidelines of the program please refer the attachment below.The guidelines has been updated by the club.  To participate please refer the link and fill up the form: https://docs.google.com/a/deerwalk.edu.np/forms/d/11rCc6L9lps7AL8ztwuYUHVzgI54gl8r_vp39ivqWw9Q/viewform?c=0&w=1&usp=mail_form_link  The deadline for the form submission is 11/30/2014 - Sunday, 10:00 PM.   P.S:  To fulfill the required number of participants, club will select the participants randomly.  Thanks, Abhishek Gupta The Software Club '",1
"'Hello All,  This is the final hikers list for sundays Hiking.  Batch_015: Shankar Koirala  Batch_016: Sumit Shrestha Sushant Gurung Sagar Giri Abhishek Gupta Anil Lama Sachin Aryal Suman Thapa Suryaraj Timsina Anish Thakuri  Batch_018: Bishal Timalsina Anil khand Abhisekh Khatiwada (coordinator) Safal Neupane (coordinator)  Time: 7 AM sharp  Amrit Silwal ( college rep)   Venue: DWIT premises  Coordinators, Reach college by 6:45.  Best, Abhisekh Khatiwada Hiking club '",1
"""Hello All,   In the upcoming DeerChautari session, we will have a time frame wherein we will try to discuss some programming problems being faced by the students and provide them with approaches to solve the problem.  I've invited you to fill out the form DeerChautari: Problem Collection. To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/1NshEL0m8sRUwoEOEBvJAy0WttA2HU3xiXVbxGqSSj9E/viewform?c=0&w=1&usp=mail_form_link """,1
"""Hello All,  It seems that you are misunderstanding the statement written in above mail. What we meant was problem related to programming code. For example, Finding a word count in a given statement.  Sincerely, Sameer  On Sun, Nov 30, 2014 at 9:03 AM, <ashim.regmi@deerwalk.edu.np> wrote:  >  Hello All, > > In the upcoming DeerChautari session, we will have a time frame wherein we > will try to discuss some programming problems being faced by the students > and provide them with approaches to solve the problem. > > I've invited you to fill out the form  DeerChautari: Problem Collection . > To fill it out, visit: > > https://docs.google.com/a/deerwalk.edu.np/forms/d/1NshEL0m8sRUwoEOEBvJAy0WttA2HU3xiXVbxGqSSj9E/viewform?c=0&w=1&usp=mail_form_link > > """,1
"""Hello All,  The DWIT News Team is back again with a new edition. There are some wonderful articles for you all. Please do visit the news site <http://dwitnews.com/> and have a delightful reading tour.  We are pretty confident that you will love going through all the articles.  Happy Reading! And don't forget to mention your thoughts.We will be delighted to hear your feedback.  Sincerely, Bimal Gaire (The DWIT News Team) """,1
"'Hello All,  Deer Chautari Club is going to hold Chautari Session 2 on Dec-2, Tuesday in Small Seminar Hall. The session will start at 5:00 PM and end at 6:00 PM. At this Session, there will be presentation of Library Management System, and Project Tracker. We will also be having discussion on interesting fact related to C, and programming problem.  Sincerely, Sameer, President of Deer Chautari Club '",1
"'Hello Everyone,  Thank you for showing your interest in participating in DeerCoders.  The participants selected for DeerCoders Season-3 are:  a. Bhawana Dahal (2015) b. Bidish Acharya (2016) c. Prabina Neupane (2016) d. Sagar Giri (2016) e. Anil Lama (2016) f. Sushant Gurung (2016) g. Anish Thakuri (2016) h. Sameer Koirala (2016)  Please be at Section B of 2017 at 5:05 pm sharp on Wednesday - 12/3/2014.  All The Best!!!  Regards, Abhishek Gupta The Software Club '",1
"'Hello Sir,  The final list of Desk-Editor-Reporters is as follows:   Desk    Editor    Reporters   Sports  Asmit Ojha  Abhusan Gautam  Asmit Ojha  Anish Thakuri  Politics  Shrijak Shrestha  Dipesh Poudel  Shrijak Shrestha  People/ Opinion  Navaraj Kharel  Aasha Poudel  Utkrista K.C.  Navaraj Kharel  Creative Writing/Review  Asmita Subedi  Asmita Subedi  Ashmita Kunwar  Prakriti Shree Tuladhar  City/College  Kundan Shumsher Rana  Kundan Shumsher Rana  Asmita Bista  Ashish Bikram Lamichhane  Sabin Pathak  Technology  Ruby Shrestha/Bimal Gaire  Ankit Pradhan  Amun Kharel  Apologies for any inconvenience due to delay.  Regards, Ruby Shrestha '",1
"""Can you change the 'About Us'  page with the following information by eob, today?  Thanks.  On Tue, Dec 2, 2014 at 7:57 PM, Ruby Shrestha <ruby.shrestha@deerwalk.edu.np > wrote:  > Hello Sir, > > The final list of Desk-Editor-Reporters is as follows: > >  Desk  > >  Editor  > >  Reporters  > > Sports > > Asmit Ojha > > Abhusan Gautam > > Asmit Ojha > > Anish Thakuri > > Politics > > Shrijak Shrestha > > Dipesh Poudel > > Shrijak Shrestha > > People/ Opinion > > Navaraj Kharel > > Aasha Poudel > > Utkrista K.C. > > Navaraj Kharel > > Creative Writing/Review > > Asmita Subedi > > Asmita Subedi > > Ashmita Kunwar > > Prakriti Shree Tuladhar > > City/College > > Kundan Shumsher Rana > > Kundan Shumsher Rana > > Asmita Bista > > Ashish Bikram Lamichhane > > Sabin Pathak > > Technology > > Ruby Shrestha/Bimal Gaire > > Ankit Pradhan > > Amun Kharel > > Apologies for any inconvenience due to delay. > > Regards, > Ruby Shrestha > """,1
"""Hello All, Friday movie show is back again. This week's genre is /Mystery/Thriller/Sci-Fi. Please fill in the details and co-operate with the members of the Documentary / Movie Club. Thank You, Sushant Shrestha ( Documentary / Movie Club)   I've invited you to fill out the form Movie show by Documentary/Movie Club. To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/18AAfIAJqnaQI2CJi1WUUVA7Pgjj6BVB8T5SgDpn5u-E/viewform?c=0&w=1&usp=mail_form_link """,1
"""Hi All,    The deadline for polling the movie is  4th December, 2014, 5:00 pm.   Thanks, Sushant Shrestha, Documentary/Movie Club  On Wed, Dec 3, 2014 at 2:51 PM, <susant.shrestha@deerwalk.edu.np> wrote:  >  If you have trouble viewing or submitting this form, you can fill it out > online: > > https://docs.google.com/a/deerwalk.edu.np/forms/d/18AAfIAJqnaQI2CJi1WUUVA7Pgjj6BVB8T5SgDpn5u-E/viewform?c=0&w=1&usp=mail_form_link > > Movie show by Documentary/Movie Club > Hello All, > Friday movie show is back again. This week's genre is > /Mystery/Thriller/Sci-Fi. Please fill in the details and co-operate with > the members of the Documentary / Movie Club. > > Thank You, > Sushant Shrestha ( Documentary / Movie Club) > Your deerwalk.edu.np username will be recorded when you submit this form. >   Required > >     Are you attending this Friday's movie show?   >     - Yes >       - No >      Please Vote for any one of the following movie.   >     - Maze Runner >       - Teenage Mutant Ninja Turtles >       - Edge of tomorrow >       - Dawn of the Planet of the Apes >       Send me a copy of my responses. >     Never submit passwords through Google Forms. > >  ",1
"""This form is to gather interested participants for Sunday Indoor Cricket. Please fill the form by tomorrow 5 PM as we have to book the ground.  I've invited you to fill out the form Sunday Indoor Cricket Form. To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/1g_30kfn1ilzJJ1TrD7-CB_nVOtLDsZZiKvfjTeTKNQU/viewform?c=0&w=1&usp=mail_form_link """,1
"'Hello All,  Music club is ready to hit the ground running. Guitar & keyboard classes will start from the upcoming Saturday (6th December 2014). Those who are interested and willing to learn are welcomed :) However, you should have your own Guitar\\Keyboard to join the classes.   Prerequisite:  Own instrument  Venue:  Section A and Section B of Class of 2017  Time:  11 A.M  Date:   6th December 2014  Regards, Anmol Shrestha, Music Club. '",1
"'You have been invited to the following event.  Title: DeerExpress Season 8 Session IV Hello All,  Tomorrow we are having presentation session. The program starts exactly at 10:50 AM. Everybody is requested to be at Lhotse Hall on time. Late comers will be regarded as absentees.  Thank you, Sunil Shrestha The DeerExpress Club. When: Fri Dec 5, 2014 10:50am - 12:20pm Katmandu Where: Lhotse Hall (Big Seminar Hall) Calendar: Sunil Shrestha Who:        Sunil Shrestha - organizer        sunil_0208@deerwalk.edu.np        DWIT College Administrators        DWIT - Students  Event details:   https://www.google.com/calendar/event?action=VIEW&eid=MW9vNHBzZGlmOWxyaTI3dHJyZ2lvdjIzb2cgX3N0dWRlbnRzQGRlZXJ3YWxrLmVkdS5ucA&tok=MzAjc3VuaWwuc2hyZXN0aGFAZGVlcndhbGsuZWR1Lm5wYjBlZjU4MzM3MDVjZDQ3YWIxYjg4NWZmZjgyNWEzZWQ5M2IwMWYyZg&ctz=Asia/Katmandu&hl=en  Invitation from Google Calendar: https://www.google.com/calendar/  You are receiving this courtesy email at the account   _students@deerwalk.edu.np because you are an attendee of this event.  To stop receiving future updates for this event, decline this event.   Alternatively you can sign up for a Google account at   https://www.google.com/calendar/ and control your notification settings for   your entire calendar. '",1
"You have been invited to the following event.  Title: DeerExpress Season 8 Session IV Hello All\\,\ \ Tomorrow we are having presentation session.\ The program   starts exactly at 10:50 AM.\ Everybody is requested to be at Lhotse Hall on   time.\ Late comers will be regarded as absentees. \ \ Thank you\\,\ Sunil   Shrestha\ The DeerExpress Club.\ View your event at   https://www.google.com/calendar/event?action=VIEW&eid=MW9vNHBzZGlmOWxyaTI3dHJyZ2lvdjIzb2cgX3N0dWRlbnRzQGRlZXJ3YWxrLmVkdS5ucA&tok=MzAjc3VuaWwuc2hyZXN0aGFAZGVlcndhbGsuZWR1Lm5wYjBlZjU4MzM3MDVjZDQ3YWIxYjg4NWZmZjgyNWEzZWQ5M2IwMWYyZg&ctz=Asia/Katmandu&hl=en. When: Fri Dec 5, 2014 5:05am - 6:35am GMT (no daylight saving) Where: Lhotse Hall (Big Seminar Hall) Video call: https://plus.google.com/hangouts/_/deerwalk.edu.np/muskan-sunil   <https://plus.google.com/hangouts/_/deerwalk.edu.np/muskan-sunil?hceid=bXVza2FuLmxhbXNhbEBkZWVyd2Fsay5lZHUubnA.ne86484b7kbc7kahat7efm6os4> Calendar: Muskan Lamsal Who:        Muskan Lamsal - organizer        sunil_0208@deerwalk.edu.np        DWIT - Students        Sunil Shrestha        DWIT College Administrators  Event details:   https://www.google.com/calendar/event?action=VIEW&eid=bmU4NjQ4NGI3a2JjN2thaGF0N2VmbTZvczQgX3N0dWRlbnRzQGRlZXJ3YWxrLmVkdS5ucA&tok=MjkjbXVza2FuLmxhbXNhbEBkZWVyd2Fsay5lZHUubnBkMTQxYzQ5MjAyMjc2ZDg4NDc0OTNjNTlhYTE1OTU2MmUxZjVlNjBl&ctz=UTC&hl=en  Invitation from Google Calendar: https://www.google.com/calendar/  You are receiving this courtesy email at the account   _students@deerwalk.edu.np because you are an attendee of this event.  To stop receiving future updates for this event, decline this event.   Alternatively you can sign up for a Google account at   https://www.google.com/calendar/ and control your notification settings for   your entire calendar. '",1
"'Hello All,  The About Us page in the News site is now updated. Please view <http://dwitnews.com/us-2/>.  PS: For those of you who had not submitted the bio, I have myself written two/three lines about you. Please refer and reply to this mail if you want to make changes.  Regards, Ruby Shrestha '",1
