emails,category
"Hiking Club. About two days hike Hello Hikers,This is the first list of hikers selected for one day hike this Sunday September 25 Destination Chandragiri Hill Venue : Deerwalk Complex Time: 6:45 AM sharp Those who want to withdraw their names please do it by 2 PM today with valid reason. You can reply on same thread. Final list will be published after 2 PM today with further information. No emails regarding withdrawal from the hiker's list will be entertained after 2 PM.",1
"DeerTalk Season 19 Session 3 Hello All, The DeerExpress Club is going to organize the third session , Debate Session   of DeerTalk on 21sth Oct 2016, Friday. The program will start exactly at 10:20 am so please be seated there by 10:15 am. This session will be in Nepali language The topic for the debate is To encourage the participants and build their confidence we request all the audience to  co-operate with the club by not creating any disturbance such as making unnecessary noise, using cell phones etc. The club will have every right to take action against the one who creates disturbance during the program.P.S. This program is compulsory for batch of 2018 and 2019 only. Regards, DeerExpress Club.",1
Weekly Intern Update - Intern - Invitation to edit Weekly PSR for the week October 24 to October 30. Please fill it by the eod today.,1
IT Club Computers not available in lab.,1
"""We want your suggestions. So, that we can know what you actually want in DeerExpress Sessions. We request everyone to give your time and fill this form. Your deerwalk.edu.np username will be recorded when you submit this form.   I've invited you to fill out the form DeerExpress Feedback. To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/1Bl34TEGWqgGIBrDqAhRz9Ko6xhqQUCcLcoSOH9BSgGE/viewform?c=0&w=1&usp=mail_form_link """,1
"Hello Asmita,  I have here attached my article, please review it. I will send you picture pachi hai ta.  Thanks, Ashmita Kunwar  On Sat, Jan 31, 2015 at 8:57 PM, Ashmita Kunwar < ashmita.kunwar@deerwalk.edu.np> wrote:  > > http://www.rogerebert.com/reviews/little-miss-sunshine-2006 > > On Sat, Jan 31, 2015 at 8:53 PM, Ashmita Kunwar < > ashmita.kunwar@deerwalk.edu.np> wrote: > >> Hello Asmita, >> >> I have attached the article here. Please review it. The name of the movie >> is "" Little Miss Sunshine"". >> >> Thanks, >> >> >> On Sat, Jan 17, 2015 at 10:48 AM, Ashmita Kunwar < >> ashmita.kunwar@deerwalk.edu.np> wrote: >> >>> hehe ! ashmita  lai pathuchu vaneko siddai reply gareko ta Ruby lai po >>> gayecha . :P >>>  mind nagar hai ta . >>> >>> >>> On Sat, Jan 17, 2015 at 10:47 AM, Ashmita Kunwar < >>> ashmita.kunwar@deerwalk.edu.np> wrote: >>> >>>> >>>> ---------- Forwarded message ---------- >>>> From: Ashmita Kunwar <ashmita.kunwar@deerwalk.edu.np> >>>> Date: Sat, Jan 17, 2015 at 10:41 AM >>>> Subject: Re: Article for editing >>>> To: Ruby Shrestha <Ruby.shrestha@deerwalk.edu.np> >>>> >>>> >>>> Hello Asmita, >>>> >>>> I have attached my article here, please review it. >>>> Photo and title is missing, I will search suitable photo for this and >>>> think for the bold topic, you too can think for the topic. >>>> For now, edit the article. >>>> >>>> Thannks, >>>> Ashmita Kunwar >>>> >>>> >>>> On Mon, Jan 12, 2015 at 8:41 AM, Ashmita Kunwar < >>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>> >>>>> >>>>> ---------- Forwarded message ---------- >>>>> From: Ashmita Kunwar <ashmita.kunwar@deerwalk.edu.np> >>>>> Date: Mon, Jan 12, 2015 at 4:37 AM >>>>> Subject: Re: Article for editing >>>>> To: asmita.subedi@deerwalk.edu.np >>>>> >>>>> >>>>> Here is the article . Please review it. >>>>> >>>>> Thanks, >>>>> Ashmita Kunwar >>>>> >>>>> On Sun, Dec 21, 2014 at 9:38 PM, Ashmita Kunwar < >>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>> >>>>>> Hi Ashmita, >>>>>> >>>>>>  I have here attached the article . Sorry, could not submit on time. >>>>>> From next I will be on time . >>>>>> >>>>>>  Thanks, >>>>>> Ashmita Kunwar >>>>>> >>>>>> >>>>>> On Sat, Dec 6, 2014 at 1:11 PM, Ashmita Kunwar < >>>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>>> >>>>>>> Hello Asmita, >>>>>>> >>>>>>> I have attached my article here. Please review it. >>>>>>> >>>>>>> Thanks, >>>>>>> Ashmita Kunwar >>>>>>> >>>>>> >>>>>> >>>>> >>>>> >>>> >>>> >>> >> > '",1
"haha.. manche baulayesi yestai hunchay , k garches aba. :P  la aba chai yu ho pakka.  On Sat, Feb 14, 2015 at 9:14 PM, Asmita Subedi < asmita.subedi@deerwalk.edu.np> wrote:  > Hehhehhe. Article xaina Babes. LAngrange ko program xa. LOL! > > Chadoo attach garera patha hai :D :D > > On Sat, Feb 14, 2015 at 3:29 PM, Ashmita Kunwar < > ashmita.kunwar@deerwalk.edu.np> wrote: > >> Hello Asmita, >> >> I have here attached my article, please review it. >> I will send you picture pachi hai ta. >> >> Thanks, >> Ashmita Kunwar >> >> On Sat, Jan 31, 2015 at 8:57 PM, Ashmita Kunwar < >> ashmita.kunwar@deerwalk.edu.np> wrote: >> >>> >>> http://www.rogerebert.com/reviews/little-miss-sunshine-2006 >>> >>> On Sat, Jan 31, 2015 at 8:53 PM, Ashmita Kunwar < >>> ashmita.kunwar@deerwalk.edu.np> wrote: >>> >>>> Hello Asmita, >>>> >>>> I have attached the article here. Please review it. The name of the >>>> movie is "" Little Miss Sunshine"". >>>> >>>> Thanks, >>>> >>>> >>>> On Sat, Jan 17, 2015 at 10:48 AM, Ashmita Kunwar < >>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>> >>>>> hehe ! ashmita  lai pathuchu vaneko siddai reply gareko ta Ruby lai po >>>>> gayecha . :P >>>>>  mind nagar hai ta . >>>>> >>>>> >>>>> On Sat, Jan 17, 2015 at 10:47 AM, Ashmita Kunwar < >>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>> >>>>>> >>>>>> ---------- Forwarded message ---------- >>>>>> From: Ashmita Kunwar <ashmita.kunwar@deerwalk.edu.np> >>>>>> Date: Sat, Jan 17, 2015 at 10:41 AM >>>>>> Subject: Re: Article for editing >>>>>> To: Ruby Shrestha <Ruby.shrestha@deerwalk.edu.np> >>>>>> >>>>>> >>>>>> Hello Asmita, >>>>>> >>>>>> I have attached my article here, please review it. >>>>>> Photo and title is missing, I will search suitable photo for this and >>>>>> think for the bold topic, you too can think for the topic. >>>>>> For now, edit the article. >>>>>> >>>>>> Thannks, >>>>>> Ashmita Kunwar >>>>>> >>>>>> >>>>>> On Mon, Jan 12, 2015 at 8:41 AM, Ashmita Kunwar < >>>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>>> >>>>>>> >>>>>>> ---------- Forwarded message ---------- >>>>>>> From: Ashmita Kunwar <ashmita.kunwar@deerwalk.edu.np> >>>>>>> Date: Mon, Jan 12, 2015 at 4:37 AM >>>>>>> Subject: Re: Article for editing >>>>>>> To: asmita.subedi@deerwalk.edu.np >>>>>>> >>>>>>> >>>>>>> Here is the article . Please review it. >>>>>>> >>>>>>> Thanks, >>>>>>> Ashmita Kunwar >>>>>>> >>>>>>> On Sun, Dec 21, 2014 at 9:38 PM, Ashmita Kunwar < >>>>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>>>> >>>>>>>> Hi Ashmita, >>>>>>>> >>>>>>>>  I have here attached the article . Sorry, could not submit on >>>>>>>> time. From next I will be on time . >>>>>>>> >>>>>>>>  Thanks, >>>>>>>> Ashmita Kunwar >>>>>>>> >>>>>>>> >>>>>>>> On Sat, Dec 6, 2014 at 1:11 PM, Ashmita Kunwar < >>>>>>>> ashmita.kunwar@deerwalk.edu.np> wrote: >>>>>>>> >>>>>>>>> Hello Asmita, >>>>>>>>> >>>>>>>>> I have attached my article here. Please review it. >>>>>>>>> >>>>>>>>> Thanks, >>>>>>>>> Ashmita Kunwar >>>>>>>>> >>>>>>>> >>>>>>>> >>>>>>> >>>>>>> >>>>>> >>>>>> >>>>> >>>> >>> >> > '",1
"""Hello All,  We've added extra 1.5 Mbps bandwidth till Tuesday, i.e. the total bandwidth is now 6Mbps. We've already added 4 new Access Points. This is only for testing so, use the Internet as much as possible and  report us immediately  if any problem arises like connection issue, automatic logout, automatic disconnection ,etc.   Note: This doesn't mean that you can download huge files. Just see whether you can surf the Internet without much lags.   These are the AP's names and password in case you don't know.   APs Located at 1st Floor    SSID :  DWIT  &  DWIT1   Password :  #!Dwit321       APs Located at 2nd Floor    SSID :  DWIT-Wifi   &   DWIT-Wifi1   Password  :  @WZone-DWIT!23    Best Regards, Sagar Giri The IT Club  On Mon, Feb 16, 2015 at 10:29 AM, suraj <msuraj@vianet.com.np> wrote:  > Dear Hitesh Sir, > > As per your kind request, I would like to inform you that the bandwidth has > been upgraded to 6/6 Mbps till Tuesday. > > I hope it meets your expectations. > > Please feel free to contact me in case of any further issues. > > Good day. > > Best Regards, > > Suraj Maharjan | Executive-Enterprise Business > | Vianet Communication Pvt.Ltd > GPO Box: 8975 EPC 1674, Lalitpur, Nepal | T: (+977)01 55 46410  ; (+977) > 980 > 104 6410 ; Ext.:202 > M: (+977) 980 119 4917  | F: (+ 977) 01 553 7318 |www.vianet.com.np > > > > > This message contains confidential information and is intended only for the > individual named. If you are not the named addressee you should not > disseminate, distribute or copy this e-mail. Please notify the sender > immediately by e-mail if you have received this e-mail by mistake and > delete > this e-mail from your system. E-mail transmission cannot be guaranteed to > be > secure or error-free as information could be intercepted, corrupted, lost, > destroyed, arrive late or incomplete, or contain viruses. The sender > therefore does not accept liability for any errors or omissions in the > contents of this message, which arise as a result of e-mail transmission. > If > verification is required please request a hard-copy version. > > > -----Original Message----- > From: Hitesh.karki@deerwalk.edu.np [mailto:hitesh.karki@deerwalk.edu.np] > Sent: Sunday, February 15, 2015 6:13 PM > To: msuraj@vianet.com.np > Cc: IT Club > Subject: Re: Addition of bandwidth for testing purpose > > Suraj, > > Can you please help with us? If need be, we might technical help as well. > So > to begin with we want to exhaust the option of bandwidth limitation. Pls > let > me know in either case. > > Thanks > Hitesh > > > On Feb 15, 2015, at 12:15, IT Club <itclub@deerwalk.edu.np> wrote: > > > > Dear Suraj Sir, > > > > For the past 1 years, the IT Club is monitoring the networks of DWIT. > But, > recently we've been facing problem in the internet speed. Although it's > 4Mbps but still the internet is too slow. It generally happens when the > number of students increases in the peak hours, i.e. from 10AM to 4PM. > > > > So, for the testing purpose, we need additional 1.5Mbps speed just for > this Monday in our current bandwidth, making it up to 6mbps just for a day > to see whether we can surf the internet without any interruption. > > > > Looking forward to your kind cooperation. > > > > Good Day. > > > > Best Regards, > > Sagar Giri > > The IT Club - DWIT > > """,1
"'Hello All,  We had sent you all a notification about  Open Data Day  that is taking place on Deerwalk Complex on this  Sunday, February 21 . Two of the events taking place on that particular day, namely  Hackathon  and  Mapathon  should be of interest to some of you. So, we have arranged an orientation program with a representative from  YoungInnovations  (the organizer). The orientation is taking place today at  5.15 PM  and will be headed by Mr. Anjesh Tuladhar. If you have any questions, or are interested at all to take part in the events happening that day, please submit your name to your CR, or the member of The Software Club that is present in your class. You can then attend the orientation program and have your doubts cleared by Mr. Anjesh. For the venue, please see the notice board, or ask the member of The Software Club present in your class.   About the Speaker:   Anjesh works in the capacity of Chief Innovations Officer at YoungInnovations.   He brings in wealth of experience in software development, specifically in the areas of system architecture development and standardising development process. Anjesh has been instrumental in introducing different technologies and approaches that have helped YoungInnovations create an international standard practices and procedures in its operation. Anjesh has worked at ICIMOD as Applications Systems Analyst where he spent four years in developing concepts and solutions for different applications aimed at fostering collaboration and work automation.     Thank you, The Software Club   PS. Software Club members please get the names from the CR in case they are submitted to the CR. '",1
"""Hello All, DWIT Social Service club is organizing Camp fire on 17th February,2015 (Tomorrow) on the auspicious occasion of Shiva Raatri. So all the interested students are requested to fill the below form in order to participate in tomorrow's event. Venue: Deerwalk Complex Start Time: 3pm PS: Please fill the form ASAP so that we can manage with the time. Deadline for the form submission is 11:59 pm Today. We look Froward to your cooperation. Regards, Social Service Club       DWIT Social Service club is organizing Camp fire on 17th February,2015 (Tomorrow) on the auspicious occasion of Shiva Raatri. So all the interested students are requested to fill the below form in order to participate in tomorrow's event. Your presence will be appreciated.  I've invited you to fill out the form Camp Fire (Tomorrow). To fill it out, visit: https://docs.google.com/a/deerwalk.edu.np/forms/d/1KeHxKu4ZJnicag33HoBdU1Pu6S6oyh5PR-BmwWMIdtQ/viewform?c=0&w=1&usp=mail_form_link """,1
